team1_wins,team2_wins,batter_runs,bowler_wicket,runs_extras,toss_decision_encoded
10.0,6.0,2415,6,16,1
17.0,17.0,3870,14,38,1
25.0,1.0,3138,10,21,1
49.0,56.0,1855,15,13,0
47.0,44.0,3338,11,20,0
16.0,14.0,3393,17,21,1
19.0,142.0,4875,13,15,1
91.0,99.0,5303,12,12,0
23.0,2.0,2637,13,16,0
78.0,78.0,7152,6,8,1
87.0,110.0,8297,12,31,1
33.0,16.0,1582,12,15,1
16.0,132.0,3648,14,10,1
44.0,39.0,5793,12,20,0
75.0,56.0,3705,16,7,0
64.0,78.0,4245,7,17,1
5.0,8.0,2763,11,12,1
103.0,120.0,3842,14,16,1
116.0,17.0,4571,10,15,1
102.0,4.0,5118,13,24,1
63.0,73.0,5332,8,16,1
45.0,73.0,3088,15,10,1
6.0,82.0,4045,12,10,0
58.0,24.0,4210,8,10,1
94.0,30.0,4380,12,7,1
13.0,111.0,4923,8,9,0
44.0,51.0,4169,13,20,1
70.0,62.0,4360,6,10,0
79.0,4.0,5394,10,16,1
33.0,13.0,3931,12,23,1
1.0,65.0,3784,9,16,0
110.0,139.0,4529,14,14,1
7.0,2.0,5353,10,32,1
5.0,5.0,4989,13,18,1
35.0,29.0,4313,10,20,1
44.0,64.0,4952,6,22,1
14.0,20.0,3843,7,22,0
95.0,33.0,5959,13,16,1
135.0,36.0,94,2,0,0
0.0,0.0,3402,10,16,0
15.0,50.0,3025,9,26,1
70.0,10.0,6157,8,12,1
119.0,78.0,4533,13,15,1
54.0,52.0,5184,9,14,1
15.0,115.0,2691,9,6,1
9.0,99.0,3032,13,19,1
82.0,41.0,5232,16,13,1
57.0,8.0,3711,14,16,1
59.0,81.0,6190,14,15,0
30.0,73.0,5808,11,23,1
15.0,9.0,3369,15,12,0
71.0,62.0,4235,14,16,0
99.0,77.0,6911,8,16,0
94.0,100.0,2050,10,11,0
103.0,113.0,3658,9,14,1
36.0,31.0,3377,10,30,0
34.0,76.0,3229,12,5,0
32.0,27.0,3681,11,19,1
23.0,31.0,2173,16,27,1
52.0,64.0,5020,15,23,1
57.0,0.0,4335,10,13,1
68.0,8.0,1589,10,4,1
3.0,21.0,5433,8,10,1
13.0,7.0,3415,14,29,1
5.0,10.0,5065,11,21,0
32.0,44.0,4185,9,8,1
2.0,28.0,2916,9,16,1
0.0,0.0,4292,7,20,1
73.0,101.0,5366,12,14,1
141.0,37.0,3580,15,24,0
40.0,36.0,4056,7,12,1
59.0,43.0,2656,15,8,0
142.0,114.0,2493,11,22,1
22.0,108.0,5528,8,22,1
91.0,31.0,5756,8,13,1
89.0,103.0,2435,16,14,1
18.0,75.0,3719,11,12,1
48.0,65.0,4899,9,14,1
1.0,1.0,4700,8,17,0
53.0,44.0,4328,13,24,1
111.0,26.0,4566,13,27,1
64.0,7.0,6402,13,16,1
53.0,66.0,3519,12,20,0
34.0,40.0,5055,7,16,0
