match_id,date,batting_team,bowling_team,player_of_match,toss_winner,toss_decision,venue,city,season
335982,2008-04-18,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,2007/08
335982,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,BB McCullum,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,2007/08
335983,2008-04-19,Chennai Super Kings,Kings XI Punjab,MEK Hussey,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2007/08
335983,2008-04-19,Kings XI Punjab,Chennai Super Kings,MEK Hussey,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,2007/08
335984,2008-04-19,Rajasthan Royals,Delhi Daredevils,MF Maharoof,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,2007/08
335984,2008-04-19,Delhi Daredevils,Rajasthan Royals,MF Maharoof,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,2007/08
335985,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,MV Boucher,Mumbai Indians,bat,Wankhede Stadium,Mumbai,2007/08
335985,2008-04-20,Royal Challengers Bangalore,Mumbai Indians,MV Boucher,Mumbai Indians,bat,Wankhede Stadium,Mumbai,2007/08
335986,2008-04-20,Deccan Chargers,Kolkata Knight Riders,DJ Hussey,Deccan Chargers,bat,Eden Gardens,Kolkata,2007/08
335986,2008-04-20,Kolkata Knight Riders,Deccan Chargers,DJ Hussey,Deccan Chargers,bat,Eden Gardens,Kolkata,2007/08
335987,2008-04-21,Kings XI Punjab,Rajasthan Royals,SR Watson,Kings XI Punjab,bat,Sawai Mansingh Stadium,Jaipur,2007/08
335987,2008-04-21,Rajasthan Royals,Kings XI Punjab,SR Watson,Kings XI Punjab,bat,Sawai Mansingh Stadium,Jaipur,2007/08
335988,2008-04-22,Deccan Chargers,Delhi Daredevils,V Sehwag,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2007/08
335988,2008-04-22,Delhi Daredevils,Deccan Chargers,V Sehwag,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,2007/08
335989,2008-04-23,Chennai Super Kings,Mumbai Indians,ML Hayden,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai,2007/08
